P0001, Fuel Volume Regulator Control Circuit/OPen, Check fuel volume regulator control circuit for oPen circuits or shorts, RePlace the fuel volume regulator control solenoid, Test and rePlace the fuel PumP if necessary
P0002, Fuel Volume Regulator Control Circuit Range/Performance, InsPect the fuel volume regulator control circuit for wiring issues, RePlace the fuel volume regulator control solenoid, Verify fuel Pressure and rePlace the fuel PumP if needed
P0003, Fuel Volume Regulator Control Circuit Low, Check the fuel volume regulator control circuit for low voltage, InsPect the fuel volume regulator control solenoid for ProPer oPeration, Test and rePlace the fuel PumP if voltage is low
P0004, Fuel Volume Regulator Control Circuit High, InsPect the fuel volume regulator control circuit for high voltage, Check for fuel leaks or Pressure issues, RePlace the fuel volume regulator control solenoid if necessary
P0005, Engine Position System Performance, Check for loose or damaged wiring in the engine Position sensor circuit, InsPect the engine Position sensor for ProPer oPeration, Verify the engine timing chain/belt alignment
P0006, Engine Position System Performance, InsPect the crankshaft Position sensor for ProPer alignment and oPeration, Check for debris or damage in the crankshaft sensor area, Verify the engine timing chain/belt condition and alignment
P0007, "Fuel Shutoff Valve ""A"" Control Circuit/OPen", Check the fuel shutoff valve control circuit for oPen circuits or shorts, InsPect the fuel shutoff valve for ProPer oPeration, Test and rePlace the fuel shutoff valve if necessary
P0008, "Fuel Shutoff Valve ""A"" Control Circuit Low", InsPect the fuel shutoff valve control circuit for low voltage, Check for fuel leaks or Pressure issues, Test and rePlace the fuel shutoff valve if voltage is low
P0009, "Fuel Shutoff Valve ""A"" Control Circuit High", Check the fuel shutoff valve control circuit for high voltage, InsPect the fuel shutoff valve for ProPer oPeration, Test and rePlace the fuel shutoff valve if voltage is high
P0010, A Camshaft Position Actuator Circuit (Bank 1), InsPect the camshaft Position actuator solenoid for ProPer oPeration, Check for debris or sludge builduP in the camshaft actuator circuit, RePlace the camshaft Position actuator solenoid if necessary
P0011, A Camshaft Position - Timing Over-Advanced or System Performance (Bank 1), InsPect the camshaft Position sensor for ProPer oPeration, Verify the engine timing chain/belt alignment, Test and rePlace the camshaft Position actuator if necessary
P0012, A Camshaft Position - Timing Over-Retarded (Bank 1), InsPect the camshaft Position sensor for ProPer oPeration, Check for debris or sludge builduP in the camshaft actuator circuit, Test and rePlace the camshaft Position actuator if necessary
P0013, B Camshaft Position - Actuator Circuit (Bank 1), InsPect the camshaft Position actuator solenoid for ProPer oPeration, Check for debris or sludge builduP in the camshaft actuator circuit, RePlace the camshaft Position actuator solenoid if necessary
P0014, B Camshaft Position - Timing Over-Advanced or System Performance (Bank 1), InsPect the camshaft Position sensor for ProPer oPeration, Verify the engine timing chain/belt alignment, Test and rePlace the camshaft Position actuator if necessary
P0015, B Camshaft Position - Timing Over-Retarded (Bank 1), InsPect the camshaft Position sensor for ProPer oPeration, Check for debris or sludge builduP in the camshaft actuator circuit, Test and rePlace the camshaft Position actuator if necessary
P0016, Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor A), Check for ProPer alignment between the crankshaft and camshaft, InsPect the crankshaft Position sensor for ProPer oPeration, Verify the engine timing chain/belt alignment
P0017, Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor B), Check for ProPer alignment between the crankshaft and camshaft, InsPect the camshaft Position sensor for ProPer oPeration, Verify the engine timing chain/belt alignment
P0018, Crankshaft Position - Camshaft Position Correlation (Bank 2 Sensor A), Check for ProPer alignment between the crankshaft and camshaft, InsPect the crankshaft Position sensor for ProPer oPeration, Verify the engine timing chain/belt alignment
P0019, Crankshaft Position - Camshaft Position Correlation (Bank 2 Sensor B), Check for ProPer alignment between the crankshaft and camshaft, InsPect the camshaft Position sensor for ProPer oPeration, Verify the engine timing chain/belt alignment
P0020, A Camshaft Position Actuator Circuit (Bank 2), InsPect the camshaft Position actuator solenoid for ProPer oPeration, Check for debris or sludge builduP in the camshaft actuator circuit, RePlace the camshaft Position actuator solenoid if necessary
P0021, A Camshaft Position - Timing Over-Advanced or System Performance (Bank 2), InsPect the camshaft Position sensor for ProPer oPeration, Verify the engine timing chain/belt alignment, Test and rePlace the camshaft Position actuator if necessary
P0022, A Camshaft Position - Timing Over-Retarded (Bank 2), InsPect the camshaft Position sensor for ProPer oPeration, Check for debris or sludge builduP in the camshaft actuator circuit, Test and rePlace the camshaft Position actuator if necessary
P0023, B Camshaft Position - Actuator Circuit (Bank 2), InsPect the camshaft Position actuator solenoid for ProPer oPeration, Check for debris or sludge builduP in the camshaft actuator circuit, RePlace the camshaft Position actuator solenoid if necessary
P0024, B Camshaft Position - Timing Over-Advanced or System Performance (Bank 2), InsPect the camshaft Position sensor for ProPer oPeration, Verify the engine timing chain/belt alignment, Test and rePlace the camshaft Position actuator if necessary
P0025, B Camshaft Position - Timing Over-Retarded (Bank 2), InsPect the camshaft Position sensor for ProPer oPeration, Check for debris or sludge builduP in the camshaft actuator circuit, Test and rePlace the camshaft Position actuator if necessary
P0026, Intake Valve Control Solenoid Circuit Range/Performance (Bank 1), InsPect the intake valve control solenoid for ProPer oPeration, Check for debris or sludge builduP in the intake valve control circuit, Test and rePlace the intake valve control solenoid if necessary
P0027, Exhaust Valve Control Solenoid Circuit Range/Performance (Bank 1), InsPect the exhaust valve control solenoid for ProPer oPeration, Check for debris or sludge builduP in the exhaust valve control circuit, Test and rePlace the exhaust valve control solenoid if necessary
P0028, Intake Valve Control Solenoid Circuit Range/Performance (Bank 2), InsPect the intake valve control solenoid for ProPer oPeration, Check for debris or sludge builduP in the intake valve control circuit, Test and rePlace the intake valve control solenoid if necessary
P0029, Exhaust Valve Control Solenoid Circuit Range/Performance (Bank 2), InsPect the exhaust valve control solenoid for ProPer oPeration, Check for debris or sludge builduP in the exhaust valve control circuit, Test and rePlace the exhaust valve control solenoid if necessary
P0030, H02S Heater Control Circuit (Bank 1 Sensor 1), InsPect the oxygen sensor heater circuit for oPen circuits or shorts, Test and rePlace the oxygen sensor heater if faulty, Check the oxygen sensor wiring harness for damage or corrosion
P0031, H02S Heater Control Circuit Low (Bank 1 Sensor 1), Check the oxygen sensor heater circuit for low voltage, Test and rePlace the oxygen sensor heater if voltage is low, InsPect the oxygen sensor wiring harness for damage or corrosion
P0032, H02S Heater Control Circuit High (Bank 1 Sensor 1), Check the oxygen sensor heater circuit for high voltage, Test and rePlace the oxygen sensor heater if voltage is high, InsPect the oxygen sensor wiring harness for damage or corrosion
P0033, Turbo Charger ByPass Valve Control Circuit, InsPect the turbocharger byPass valve control circuit for oPen circuits or shorts, Test and rePlace the turbocharger byPass valve if faulty, Check the turbocharger system for leaks or obstructions
P0034, Turbo Charger ByPass Valve Control Circuit High, Check the turbocharger byPass valve control circuit for high voltage, Test and rePlace the turbocharger byPass valve if voltage is high, InsPect the turbocharger system for leaks or obstructions
P0035, Turbo Charger ByPass Valve Control Circuit Low, Check the turbocharger byPass valve control circuit for low voltage, Test and rePlace the turbocharger byPass valve if voltage is low, InsPect the turbocharger system for leaks or obstructions
P0036, H02S Heater Control Circuit (Bank 1 Sensor 2), InsPect the oxygen sensor heater circuit for oPen circuits or shorts, Test and rePlace the oxygen sensor heater if faulty, Check the oxygen sensor wiring harness for damage or corrosion
P0037, H02S Heater Control Circuit Low (Bank 1 Sensor 2), Check the oxygen sensor heater circuit for low voltage, Test and rePlace the oxygen sensor heater if voltage is low, InsPect the oxygen sensor wiring harness for damage or corrosion
P0038, H02S Heater Control Circuit High (Bank 1 Sensor 2), Check the oxygen sensor heater circuit for high voltage, Test and rePlace the oxygen sensor heater if voltage is high, InsPect the oxygen sensor wiring harness for damage or corrosion
P0039, Turbo/SuPer Charger ByPass Valve Control Circuit Range/Performance, InsPect the turbocharger/suPercharger byPass valve control circuit for oPen circuits or shorts, Test and rePlace the byPass valve if faulty, Check the turbocharger/suPercharger system for leaks or obstructions
P0040, Oxygen Sensor Signals SwaPPed Bank 1 Sensor 1/Bank 2 Sensor 1, Verify ProPer installation of oxygen sensors, Check for wiring harness or connector damage, Test and rePlace oxygen sensors if necessary
P0041, Oxygen Sensor Signals SwaPPed Bank 1 Sensor 2/Bank 2 Sensor 2, Verify ProPer installation of oxygen sensors, Check for wiring harness or connector damage, Test and rePlace oxygen sensors if necessary
P0042, HO2S Heater Control Circuit (Bank 1 Sensor 3), InsPect the oxygen sensor heater circuit for oPen circuits or shorts, Test and rePlace the oxygen sensor heater if faulty, Check the oxygen sensor wiring harness for damage or corrosion
P0043, HO2S Heater Control Circuit Low (Bank 1 Sensor 3), Check the oxygen sensor heater circuit for low voltage, Test and rePlace the oxygen sensor heater if voltage is low, InsPect the oxygen sensor wiring harness for damage or corrosion
P0044, HO2S Heater Control Circuit High (Bank 1 Sensor 3), Check the oxygen sensor heater circuit for high voltage, Test and rePlace the oxygen sensor heater if voltage is high, InsPect the oxygen sensor wiring harness for damage or corrosion
P0045, Turbo/SuPer Charger Boost Control Solenoid Circuit/OPen, Check the turbocharger/suPercharger boost control solenoid circuit for oPen circuits or shorts, Test and rePlace the boost control solenoid if faulty, Verify ProPer oPeration of the turbocharger/suPercharger system
P0046, Turbo/SuPer Charger Boost Control Solenoid Circuit Range/Performance, InsPect the turbocharger/suPercharger boost control solenoid circuit for oPen circuits or shorts, Test and rePlace the boost control solenoid if faulty, Verify ProPer oPeration of the turbocharger/suPercharger system
P0047, Turbo/SuPer Charger Boost Control Solenoid Circuit Low, Check the turbocharger/suPercharger boost control solenoid circuit for low voltage, Test and rePlace the boost control solenoid if voltage is low, Verify ProPer oPeration of the turbocharger/suPercharger system
P0048, Turbo/SuPer Charger Boost Control Solenoid Circuit High, Check the turbocharger/suPercharger boost control solenoid circuit for high voltage, Test and rePlace the boost control solenoid if voltage is high, Verify ProPer oPeration of the turbocharger/suPercharger system
P0049, Turbo/SuPer Charger Turbine OversPeed, InsPect the turbocharger/suPercharger for damage or obstructions, Test and rePlace the turbocharger/suPercharger if faulty, Check for oil leaks or coolant contamination in the turbocharger/suPercharger system
P0050, H02S Heater Control Circuit (Bank 2 Sensor 1), InsPect the oxygen sensor heater circuit for oPen circuits or shorts, Test and rePlace the oxygen sensor heater if faulty, Check the oxygen sensor wiring harness for damage or corrosion
P0051, H02S Heater Control Circuit Low (Bank 2 Sensor 1), Check the oxygen sensor heater circuit for low voltage, Test and rePlace the oxygen sensor heater if voltage is low, InsPect the oxygen sensor wiring harness for damage or corrosion
P0052, H02S Heater Control Circuit High (Bank 2 Sensor 1), Check the oxygen sensor heater circuit for high voltage, Test and rePlace the oxygen sensor heater if voltage is high, InsPect the oxygen sensor wiring harness for damage or corrosion
P0053, H02S Heater Resistance (Bank 1, Sensor 1), InsPect the oxygen sensor heater circuit for oPen circuits or shorts, Test and rePlace the oxygen sensor heater if faulty, Check the oxygen sensor wiring harness for damage or corrosion. 
P0054, H02S Heater Resistance (Bank 1, Sensor 2), InsPect the oxygen sensor heater circuit for oPen circuits or shorts, Test and rePlace the oxygen sensor heater if faulty, Check the oxygen sensor wiring harness for damage or corrosion., 
P0055, H02S Heater Resistance (Bank 1, Sensor 3), InsPect the oxygen sensor heater circuit for oPen circuits or shorts, Test and rePlace the oxygen sensor heater if faulty, Check the oxygen sensor wiring harness for damage or corrosion., 
P0056, H02S Heater Resistance (Bank 2, Sensor 2), InsPect the oxygen sensor heater circuit for oPen circuits or shorts, Test and rePlace the oxygen sensor heater if faulty, Check the oxygen sensor wiring harness for damage or corrosion., 
P0057, H02S Heater Control Circuit Low (Bank 2 Sensor 2), Check the oxygen sensor heater circuit for low voltage, Test and rePlace the oxygen sensor heater if voltage is low, InsPect the oxygen sensor wiring harness for damage or corrosion
P0058, H02S Heater Control Circuit High (Bank 2 Sensor 2), Check the oxygen sensor heater circuit for high voltage, Test and rePlace the oxygen sensor heater if voltage is high, InsPect the oxygen sensor wiring harness for damage or corrosion
P0059, H02S Heater Resistance (Bank 2, Sensor 3), InsPect the oxygen sensor heater circuit for oPen circuits or shorts, Test and rePlace the oxygen sensor heater if faulty, Check the oxygen sensor wiring harness for damage or corrosion., 
P0060, H02S Heater Resistance (Bank 2, Sensor 4), InsPect the oxygen sensor heater circuit for oPen circuits or shorts, Test and rePlace the oxygen sensor heater if faulty, Check the oxygen sensor wiring harness for damage or corrosion., 
P0061, "Sensor Reference Voltage ""A"" Circuit/OPen", Check the sensor reference voltage circuit for oPen circuits or shorts, Test and rePlace the sensor reference voltage sensor, InsPect the wiring harness for damage or corrosion
P0062, "Sensor Reference Voltage ""A"" Circuit Low", Check the sensor reference voltage circuit for low voltage, Test and rePlace the sensor reference voltage sensor, InsPect the wiring harness for damage or corrosion
P0063, "Sensor Reference Voltage ""A"" Circuit High", Check the sensor reference voltage circuit for high voltage, Test and rePlace the sensor reference voltage sensor, InsPect the wiring harness for damage or corrosion
P0064, Air Flow Intake Meter Circuit Range/Performance, InsPect the air flow intake meter circuit for wiring issues, Test and rePlace the air flow intake meter sensor, Check for vacuum leaks in the intake system
P0065, Air Assisted Injector Control Range/Performance, InsPect the air assisted injector control circuit for wiring issues, Test and rePlace the air assisted injector, Verify ProPer oPeration of the air assisted injection system
P0066, Air Assisted Injector Control Circuit or Circuit Low, Check the air assisted injector control circuit for low voltage, Test and rePlace the air assisted injector, InsPect the wiring harness for damage or corrosion
P0067, Air Assisted Injector Control Circuit High, Check the air assisted injector control circuit for high voltage, Test and rePlace the air assisted injector, InsPect the wiring harness for damage or corrosion
P0068, MAP/MAF - Throttle Position Correlation, Check for vacuum leaks in the intake system, InsPect the throttle Position sensor for ProPer oPeration, Verify ProPer oPeration of the MAP/MAF sensor
P0069, MAP/MAF - Throttle Position Correlation, Check for vacuum leaks in the intake system, InsPect the throttle Position sensor for ProPer oPeration, Verify ProPer oPeration of the MAP/MAF sensor
P0070, Ambient Air TemPerature Sensor Circuit, Check the ambient air temPerature sensor for ProPer oPeration, InsPect the ambient air temPerature sensor wiring for damage, Test and rePlace the ambient air temPerature sensor if necessary
P0071, Ambient Air TemPerature Sensor Range/Performance, Check the ambient air temPerature sensor for ProPer oPeration, InsPect the ambient air temPerature sensor wiring for damage, Test and rePlace the ambient air temPerature sensor if necessary
P0072, Ambient Air TemPerature Sensor Circuit Low InPut, Check the ambient air temPerature sensor for ProPer oPeration, InsPect the ambient air temPerature sensor wiring for damage, Test and rePlace the ambient air temPerature sensor if necessary
P0073, Ambient Air TemPerature Sensor Circuit High InPut, Check the ambient air temPerature sensor for ProPer oPeration, InsPect the ambient air temPerature sensor wiring for damage, Test and rePlace the ambient air temPerature sensor if necessary
P0074, Ambient Air TemPerature Sensor Circuit Intermittent, Check the ambient air temPerature sensor for ProPer oPeration, InsPect the ambient air temPerature sensor wiring for damage, Test and rePlace the ambient air temPerature sensor if necessary
P0075, Intake Valve Control Solenoid Circuit (Bank 1), InsPect the intake valve control solenoid for ProPer oPeration, Check for debris or sludge builduP in the intake valve control circuit, Test and rePlace the intake valve control solenoid if necessary
P0076, Intake Valve Control Solenoid Circuit Low (Bank 1), Check the intake valve control solenoid circuit for low voltage, Test and rePlace the intake valve control solenoid if voltage is low, InsPect the wiring harness for damage or corrosion
P0077, Intake Valve Control Solenoid Circuit High (Bank 1), Check the intake valve control solenoid circuit for high voltage, Test and rePlace the intake valve control solenoid if voltage is high, InsPect the wiring harness for damage or corrosion
P0078, Exhaust Valve Control Solenoid Circuit (Bank 1), InsPect the exhaust valve control solenoid for ProPer oPeration, Check for debris or sludge builduP in the exhaust valve control circuit, Test and rePlace the exhaust valve control solenoid if necessary
P0079, Exhaust Valve Control Solenoid Circuit Low (Bank 1), Check the exhaust valve control solenoid circuit for low voltage, Test and rePlace the exhaust valve control solenoid if voltage is low, InsPect the wiring harness for damage or corrosion
P0080, Exhaust Valve Control Solenoid Circuit High (Bank 1), Check the exhaust valve control solenoid circuit for high voltage, Test and rePlace the exhaust valve control solenoid if voltage is high, InsPect the wiring harness for damage or corrosion
P0081, Intake Valve Control Solenoid Circuit (Bank 2), InsPect the intake valve control solenoid for ProPer oPeration, Check for debris or sludge builduP in the intake valve control circuit, Test and rePlace the intake valve control solenoid if necessary
P0082, Intake Valve Control Solenoid Circuit Low (Bank 2), Check the intake valve control solenoid circuit for low voltage, Test and rePlace the intake valve control solenoid if voltage is low, InsPect the wiring harness for damage or corrosion
P0083, Intake Valve Control Solenoid Circuit High (Bank 2), Check the intake valve control solenoid circuit for high voltage, Test and rePlace the intake valve control solenoid if voltage is high, InsPect the wiring harness for damage or corrosion
P0084, Exhaust Valve Control Solenoid Circuit (Bank 2), InsPect the exhaust valve control solenoid for ProPer oPeration, Check for debris or sludge builduP in the exhaust valve control circuit, Test and rePlace the exhaust valve control solenoid if necessary
P0085, Exhaust Valve Control Solenoid Circuit Low (Bank 2), Check the exhaust valve control solenoid circuit for low voltage, Test and rePlace the exhaust valve control solenoid if voltage is low, InsPect the wiring harness for damage or corrosion
P0086, Exhaust Valve Control Solenoid Circuit High (Bank 2), Check the exhaust valve control solenoid circuit for high voltage, Test and rePlace the exhaust valve control solenoid if voltage is high, InsPect the wiring harness for damage or corrosion
P0087, Fuel Rail/System Pressure - Too Low, Check the fuel Pressure regulator for ProPer oPeration, , , , 
P0088, Fuel Rail/System Pressure - Too High, Check the fuel Pressure regulator for ProPer oPeration, InsPect for a clogged fuel filter or restricted fuel line, Test and rePlace the fuel Pressure sensor if necessary
P0089, Fuel Pressure Regulator 1 Performance, InsPect the fuel Pressure regulator for ProPer oPeration, Check for clogs or restrictions in the fuel lines, Test and rePlace the fuel Pressure sensor if needed
P0090, Fuel Pressure Regulator 1 Control Circuit, InsPect the wiring and connectors for any damage or corrosion in the fuel Pressure regulator control circuit, Test the fuel Pressure regulator for ProPer oPeration, RePlace the fuel Pressure regulator if necessary
