2024,Chevy,Malibu,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Menu' button on the turn signal lever to scroll to the 'Vehicle Information' menu. 3. Use the lever to find the 'Oil Life' option. 4. Press the 'Set/Reset' button to select it. 5. Press and hold the 'Set/Reset' button until the oil life display resets to 100%.
2024,Chevy,Equinox,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC (Driver Information Center) buttons on the steering wheel to navigate to the 'Info' page. 3. Scroll to the 'Remaining Oil Life' screen. 4. Press and hold the 'Check' or 'Set/Reset' button until the oil life display resets to 100%.
2024,Chevy,Traverse,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Vehicle Info' button until 'Oil Life' is displayed. 3. Press and hold the 'Set/Reset' button until the oil life resets to 100%.
2024,Chevy,Blazer,1. Turn the ignition to 'On' without starting the engine. 2. Use the steering wheel controls to navigate to the 'Vehicle Info' menu. 3. Select 'Oil Life'. 4. Press and hold the 'OK' button until the oil life resets to 100%.
2024,Chevy,Trailblazer,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Menu' button on the turn signal lever to scroll to 'Oil Life'. 3. Press and hold the 'Set/Reset' button until the oil life display resets to 100%.
2024,Chevy,Tahoe,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to display the 'Oil Life' screen. 3. Press and hold the 'Check' or 'Set/Reset' button until the oil life resets to 100%.
2024,Chevy,Suburban,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to navigate to the 'Oil Life' screen. 3. Press and hold the 'Check' or 'Set/Reset' button until the oil life resets to 100%.
2024,Chevy,Trax,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Menu' button to scroll to 'Vehicle Info'. 3. Select 'Oil Life'. 4. Press and hold the 'Set/Reset' button until the oil life resets to 100%.
2024,Chevy,Bolt EV,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to navigate to 'Oil Life'. 3. Press and hold the 'Check' button until the oil life display resets to 100%.
2024,Chevy,Camaro,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to find the 'Oil Life' menu. 3. Press and hold the 'Set/Reset' button until the oil life resets to 100%.
